dataset,layers,benchmark_auc,simulated_auc
mnist_0,"dropout,whitening,attention,residual,layernorm,dense",0.983,0.996
mnist_0,"batchnorm,dropout,whitening,attention,residual,layernorm,dense",0.983,0.996
mnist_1,none,0.986,0.986
mnist_1,batchnorm,0.986,0.991
mnist_1,dropout,0.986,0.988
mnist_1,whitening,0.986,0.989
mnist_1,attention,0.986,0.994
mnist_1,residual,0.986,0.993
mnist_1,layernorm,0.986,0.99
mnist_1,dense,0.986,0.989
mnist_1,"batchnorm,dropout",0.986,0.993
mnist_1,"batchnorm,whitening",0.986,0.994
mnist_1,"batchnorm,attention",0.986,0.996
mnist_1,"batchnorm,residual",0.986,0.996
mnist_1,"batchnorm,layernorm",0.986,0.995
mnist_1,"batchnorm,dense",0.986,0.994
mnist_1,"dropout,whitening",0.986,0.991
mnist_1,"dropout,attention",0.986,0.996
mnist_1,"dropout,residual",0.986,0.995
mnist_1,"dropout,layernorm",0.986,0.992
mnist_1,"dropout,dense",0.986,0.991
mnist_1,"whitening,attention",0.986,0.996
mnist_1,"whitening,residual",0.986,0.996
mnist_1,"whitening,layernorm",0.986,0.993
mnist_1,"whitening,dense",0.986,0.992
mnist_1,"attention,residual",0.986,0.996
mnist_1,"attention,layernorm",0.986,0.996
mnist_1,"attention,dense",0.986,0.996
mnist_1,"residual,layernorm",0.986,0.996
mnist_1,"residual,dense",0.986,0.996
mnist_1,"layernorm,dense",0.986,0.993
mnist_1,"batchnorm,dropout,whitening",0.986,0.996
mnist_1,"batchnorm,dropout,attention",0.986,0.996
mnist_1,"batchnorm,dropout,residual",0.986,0.996
mnist_1,"batchnorm,dropout,layernorm",0.986,0.996
mnist_1,"batchnorm,dropout,dense",0.986,0.996
mnist_1,"batchnorm,whitening,attention",0.986,0.996
mnist_1,"batchnorm,whitening,residual",0.986,0.996
mnist_1,"batchnorm,whitening,layernorm",0.986,0.996
mnist_1,"batchnorm,whitening,dense",0.986,0.996
mnist_1,"batchnorm,attention,residual",0.986,0.996
mnist_1,"batchnorm,attention,layernorm",0.986,0.996
mnist_1,"batchnorm,attention,dense",0.986,0.996
mnist_1,"batchnorm,residual,layernorm",0.986,0.996
mnist_1,"batchnorm,residual,dense",0.986,0.996
mnist_1,"batchnorm,layernorm,dense",0.986,0.996
mnist_1,"dropout,whitening,attention",0.986,0.996
mnist_1,"dropout,whitening,residual",0.986,0.996
mnist_1,"dropout,whitening,layernorm",0.986,0.995
mnist_1,"dropout,whitening,dense",0.986,0.994
mnist_1,"dropout,attention,residual",0.986,0.996
mnist_1,"dropout,attention,layernorm",0.986,0.996
mnist_1,"dropout,attention,dense",0.986,0.996
mnist_1,"dropout,residual,layernorm",0.986,0.996
mnist_1,"dropout,residual,dense",0.986,0.996
mnist_1,"dropout,layernorm,dense",0.986,0.995
mnist_1,"whitening,attention,residual",0.986,0.996
mnist_1,"whitening,attention,layernorm",0.986,0.996
mnist_1,"whitening,attention,dense",0.986,0.996
mnist_1,"whitening,residual,layernorm",0.986,0.996
mnist_1,"whitening,residual,dense",0.986,0.996
mnist_1,"whitening,layernorm,dense",0.986,0.996
mnist_1,"attention,residual,layernorm",0.986,0.996
mnist_1,"attention,residual,dense",0.986,0.996
mnist_1,"attention,layernorm,dense",0.986,0.996
mnist_1,"residual,layernorm,dense",0.986,0.996
mnist_1,"batchnorm,dropout,whitening,attention",0.986,0.996
mnist_1,"batchnorm,dropout,whitening,residual",0.986,0.996
mnist_1,"batchnorm,dropout,whitening,layernorm",0.986,0.996
mnist_1,"batchnorm,dropout,whitening,dense",0.986,0.996
mnist_1,"batchnorm,dropout,attention,residual",0.986,0.996
mnist_1,"batchnorm,dropout,attention,layernorm",0.986,0.996
mnist_1,"batchnorm,dropout,attention,dense",0.986,0.996
mnist_1,"batchnorm,dropout,residual,layernorm",0.986,0.996
mnist_1,"batchnorm,dropout,residual,dense",0.986,0.996
mnist_1,"batchnorm,dropout,layernorm,dense",0.986,0.996
mnist_1,"batchnorm,whitening,attention,residual",0.986,0.996
mnist_1,"batchnorm,whitening,attention,layernorm",0.986,0.996
mnist_1,"batchnorm,whitening,attention,dense",0.986,0.996
mnist_1,"batchnorm,whitening,residual,layernorm",0.986,0.996
mnist_1,"batchnorm,whitening,residual,dense",0.986,0.996
mnist_1,"batchnorm,whitening,layernorm,dense",0.986,0.996
mnist_1,"batchnorm,attention,residual,layernorm",0.986,0.996
mnist_1,"batchnorm,attention,residual,dense",0.986,0.996
mnist_1,"batchnorm,attention,layernorm,dense",0.986,0.996
mnist_1,"batchnorm,residual,layernorm,dense",0.986,0.996
mnist_1,"dropout,whitening,attention,residual",0.986,0.996
mnist_1,"dropout,whitening,attention,layernorm",0.986,0.996
mnist_1,"dropout,whitening,attention,dense",0.986,0.996
mnist_1,"dropout,whitening,residual,layernorm",0.986,0.996
mnist_1,"dropout,whitening,residual,dense",0.986,0.996
mnist_1,"dropout,whitening,layernorm,dense",0.986,0.996
mnist_1,"dropout,attention,residual,layernorm",0.986,0.996
mnist_1,"dropout,attention,residual,dense",0.986,0.996
mnist_1,"dropout,attention,layernorm,dense",0.986,0.996
mnist_1,"dropout,residual,layernorm,dense",0.986,0.996
mnist_1,"whitening,attention,residual,layernorm",0.986,0.996
mnist_1,"whitening,attention,residual,dense",0.986,0.996
mnist_1,"whitening,attention,layernorm,dense",0.986,0.996
mnist_1,"whitening,residual,layernorm,dense",0.986,0.996
mnist_1,"attention,residual,layernorm,dense",0.986,0.996
mnist_1,"batchnorm,dropout,whitening,attention,residual",0.986,0.996
mnist_1,"batchnorm,dropout,whitening,attention,layernorm",0.986,0.996
mnist_1,"batchnorm,dropout,whitening,attention,dense",0.986,0.996
mnist_1,"batchnorm,dropout,whitening,residual,layernorm",0.986,0.996
mnist_1,"batchnorm,dropout,whitening,residual,dense",0.986,0.996
mnist_1,"batchnorm,dropout,whitening,layernorm,dense",0.986,0.996
mnist_1,"batchnorm,dropout,attention,residual,layernorm",0.986,0.996
mnist_1,"batchnorm,dropout,attention,residual,dense",0.986,0.996
mnist_1,"batchnorm,dropout,attention,layernorm,dense",0.986,0.996
mnist_1,"batchnorm,dropout,residual,layernorm,dense",0.986,0.996
mnist_1,"batchnorm,whitening,attention,residual,layernorm",0.986,0.996
mnist_1,"batchnorm,whitening,attention,residual,dense",0.986,0.996
mnist_1,"batchnorm,whitening,attention,layernorm,dense",0.986,0.996
mnist_1,"batchnorm,whitening,residual,layernorm,dense",0.986,0.996
mnist_1,"batchnorm,attention,residual,layernorm,dense",0.986,0.996
mnist_1,"dropout,whitening,attention,residual,layernorm",0.986,0.996
mnist_1,"dropout,whitening,attention,residual,dense",0.986,0.996
mnist_1,"dropout,whitening,attention,layernorm,dense",0.986,0.996
mnist_1,"dropout,whitening,residual,layernorm,dense",0.986,0.996
mnist_1,"dropout,attention,residual,layernorm,dense",0.986,0.996
mnist_1,"whitening,attention,residual,layernorm,dense",0.986,0.996
mnist_1,"batchnorm,dropout,whitening,attention,residual,layernorm",0.986,0.996
mnist_1,"batchnorm,dropout,whitening,attention,residual,dense",0.986,0.996
mnist_1,"batchnorm,dropout,whitening,attention,layernorm,dense",0.986,0.996
mnist_1,"batchnorm,dropout,whitening,residual,layernorm,dense",0.986,0.996
mnist_1,"batchnorm,dropout,attention,residual,layernorm,dense",0.986,0.996
mnist_1,"batchnorm,whitening,attention,residual,layernorm,dense",0.986,0.996
mnist_1,"dropout,whitening,attention,residual,layernorm,dense",0.986,0.996
mnist_1,"batchnorm,dropout,whitening,attention,residual,layernorm,dense",0.986,0.996
mnist_2,none,0.961,0.961
mnist_2,batchnorm,0.961,0.966
mnist_2,dropout,0.961,0.963
mnist_2,whitening,0.961,0.964
mnist_2,attention,0.961,0.969
mnist_2,residual,0.961,0.968
mnist_2,layernorm,0.961,0.965
mnist_2,dense,0.961,0.964
mnist_2,"batchnorm,dropout",0.961,0.968
mnist_2,"batchnorm,whitening",0.961,0.969
mnist_2,"batchnorm,attention",0.961,0.974
mnist_2,"batchnorm,residual",0.961,0.973
mnist_2,"batchnorm,layernorm",0.961,0.97
mnist_2,"batchnorm,dense",0.961,0.969
mnist_2,"dropout,whitening",0.961,0.966
mnist_2,"dropout,attention",0.961,0.971
mnist_2,"dropout,residual",0.961,0.97
mnist_2,"dropout,layernorm",0.961,0.967
mnist_2,"dropout,dense",0.961,0.966
mnist_2,"whitening,attention",0.961,0.972
mnist_2,"whitening,residual",0.961,0.971
mnist_2,"whitening,layernorm",0.961,0.968
mnist_2,"whitening,dense",0.961,0.967
mnist_2,"attention,residual",0.961,0.976
mnist_2,"attention,layernorm",0.961,0.973
mnist_2,"attention,dense",0.961,0.972
mnist_2,"residual,layernorm",0.961,0.972
mnist_2,"residual,dense",0.961,0.971
mnist_2,"layernorm,dense",0.961,0.968
mnist_2,"batchnorm,dropout,whitening",0.961,0.971
mnist_2,"batchnorm,dropout,attention",0.961,0.976
mnist_2,"batchnorm,dropout,residual",0.961,0.975
mnist_2,"batchnorm,dropout,layernorm",0.961,0.972
mnist_2,"batchnorm,dropout,dense",0.961,0.971
mnist_2,"batchnorm,whitening,attention",0.961,0.977
mnist_2,"batchnorm,whitening,residual",0.961,0.976
mnist_2,"batchnorm,whitening,layernorm",0.961,0.973
mnist_2,"batchnorm,whitening,dense",0.961,0.972
mnist_2,"batchnorm,attention,residual",0.961,0.981
mnist_2,"batchnorm,attention,layernorm",0.961,0.978
mnist_2,"batchnorm,attention,dense",0.961,0.977
mnist_2,"batchnorm,residual,layernorm",0.961,0.977
mnist_2,"batchnorm,residual,dense",0.961,0.976
mnist_2,"batchnorm,layernorm,dense",0.961,0.973
mnist_2,"dropout,whitening,attention",0.961,0.974
mnist_2,"dropout,whitening,residual",0.961,0.973
mnist_2,"dropout,whitening,layernorm",0.961,0.97
mnist_2,"dropout,whitening,dense",0.961,0.969
mnist_2,"dropout,attention,residual",0.961,0.978
mnist_2,"dropout,attention,layernorm",0.961,0.975
mnist_2,"dropout,attention,dense",0.961,0.974
mnist_2,"dropout,residual,layernorm",0.961,0.974
mnist_2,"dropout,residual,dense",0.961,0.973
mnist_2,"dropout,layernorm,dense",0.961,0.97
mnist_2,"whitening,attention,residual",0.961,0.979
mnist_2,"whitening,attention,layernorm",0.961,0.976
mnist_2,"whitening,attention,dense",0.961,0.975
mnist_2,"whitening,residual,layernorm",0.961,0.975
mnist_2,"whitening,residual,dense",0.961,0.974
mnist_2,"whitening,layernorm,dense",0.961,0.971
mnist_2,"attention,residual,layernorm",0.961,0.98
mnist_2,"attention,residual,dense",0.961,0.979
mnist_2,"attention,layernorm,dense",0.961,0.976
mnist_2,"residual,layernorm,dense",0.961,0.975
mnist_2,"batchnorm,dropout,whitening,attention",0.961,0.979
mnist_2,"batchnorm,dropout,whitening,residual",0.961,0.978
mnist_2,"batchnorm,dropout,whitening,layernorm",0.961,0.975
mnist_2,"batchnorm,dropout,whitening,dense",0.961,0.974
mnist_2,"batchnorm,dropout,attention,residual",0.961,0.983
mnist_2,"batchnorm,dropout,attention,layernorm",0.961,0.98
mnist_2,"batchnorm,dropout,attention,dense",0.961,0.979
mnist_2,"batchnorm,dropout,residual,layernorm",0.961,0.979
mnist_2,"batchnorm,dropout,residual,dense",0.961,0.978
mnist_2,"batchnorm,dropout,layernorm,dense",0.961,0.975
mnist_2,"batchnorm,whitening,attention,residual",0.961,0.984
mnist_2,"batchnorm,whitening,attention,layernorm",0.961,0.981
mnist_2,"batchnorm,whitening,attention,dense",0.961,0.98
mnist_2,"batchnorm,whitening,residual,layernorm",0.961,0.98
mnist_2,"batchnorm,whitening,residual,dense",0.961,0.979
mnist_2,"batchnorm,whitening,layernorm,dense",0.961,0.976
mnist_2,"batchnorm,attention,residual,layernorm",0.961,0.985
mnist_2,"batchnorm,attention,residual,dense",0.961,0.984
mnist_2,"batchnorm,attention,layernorm,dense",0.961,0.981
mnist_2,"batchnorm,residual,layernorm,dense",0.961,0.98
mnist_2,"dropout,whitening,attention,residual",0.961,0.981
mnist_2,"dropout,whitening,attention,layernorm",0.961,0.978
mnist_2,"dropout,whitening,attention,dense",0.961,0.977
mnist_2,"dropout,whitening,residual,layernorm",0.961,0.977
mnist_2,"dropout,whitening,residual,dense",0.961,0.976
mnist_2,"dropout,whitening,layernorm,dense",0.961,0.973
mnist_2,"dropout,attention,residual,layernorm",0.961,0.982
mnist_2,"dropout,attention,residual,dense",0.961,0.981
mnist_2,"dropout,attention,layernorm,dense",0.961,0.978
mnist_2,"dropout,residual,layernorm,dense",0.961,0.977
mnist_2,"whitening,attention,residual,layernorm",0.961,0.983
mnist_2,"whitening,attention,residual,dense",0.961,0.982
mnist_2,"whitening,attention,layernorm,dense",0.961,0.979
mnist_2,"whitening,residual,layernorm,dense",0.961,0.978
mnist_2,"attention,residual,layernorm,dense",0.961,0.983
mnist_2,"batchnorm,dropout,whitening,attention,residual",0.961,0.986
mnist_2,"batchnorm,dropout,whitening,attention,layernorm",0.961,0.983
mnist_2,"batchnorm,dropout,whitening,attention,dense",0.961,0.982
mnist_2,"batchnorm,dropout,whitening,residual,layernorm",0.961,0.982
mnist_2,"batchnorm,dropout,whitening,residual,dense",0.961,0.981
mnist_2,"batchnorm,dropout,whitening,layernorm,dense",0.961,0.978
mnist_2,"batchnorm,dropout,attention,residual,layernorm",0.961,0.987
mnist_2,"batchnorm,dropout,attention,residual,dense",0.961,0.986
mnist_2,"batchnorm,dropout,attention,layernorm,dense",0.961,0.983
mnist_2,"batchnorm,dropout,residual,layernorm,dense",0.961,0.982
mnist_2,"batchnorm,whitening,attention,residual,layernorm",0.961,0.988
mnist_2,"batchnorm,whitening,attention,residual,dense",0.961,0.987
mnist_2,"batchnorm,whitening,attention,layernorm,dense",0.961,0.984
mnist_2,"batchnorm,whitening,residual,layernorm,dense",0.961,0.983
mnist_2,"batchnorm,attention,residual,layernorm,dense",0.961,0.988
mnist_2,"dropout,whitening,attention,residual,layernorm",0.961,0.985
mnist_2,"dropout,whitening,attention,residual,dense",0.961,0.984
mnist_2,"dropout,whitening,attention,layernorm,dense",0.961,0.981
mnist_2,"dropout,whitening,residual,layernorm,dense",0.961,0.98
mnist_2,"dropout,attention,residual,layernorm,dense",0.961,0.985
mnist_2,"whitening,attention,residual,layernorm,dense",0.961,0.986
mnist_2,"batchnorm,dropout,whitening,attention,residual,layernorm",0.961,0.99
mnist_2,"batchnorm,dropout,whitening,attention,residual,dense",0.961,0.989
mnist_2,"batchnorm,dropout,whitening,attention,layernorm,dense",0.961,0.986
mnist_2,"batchnorm,dropout,whitening,residual,layernorm,dense",0.961,0.985
mnist_2,"batchnorm,dropout,attention,residual,layernorm,dense",0.961,0.99
mnist_2,"batchnorm,whitening,attention,residual,layernorm,dense",0.961,0.991
mnist_2,"dropout,whitening,attention,residual,layernorm,dense",0.961,0.988
mnist_2,"batchnorm,dropout,whitening,attention,residual,layernorm,dense",0.961,0.993
mnist_3,none,0.954,0.954
mnist_3,batchnorm,0.954,0.959
mnist_3,dropout,0.954,0.956
mnist_3,whitening,0.954,0.957
mnist_3,attention,0.954,0.962
mnist_3,residual,0.954,0.961
mnist_3,layernorm,0.954,0.958
mnist_3,dense,0.954,0.957
mnist_3,"batchnorm,dropout",0.954,0.961
mnist_3,"batchnorm,whitening",0.954,0.962
mnist_3,"batchnorm,attention",0.954,0.967
mnist_3,"batchnorm,residual",0.954,0.966
mnist_3,"batchnorm,layernorm",0.954,0.963
mnist_3,"batchnorm,dense",0.954,0.962
mnist_3,"dropout,whitening",0.954,0.959
mnist_3,"dropout,attention",0.954,0.964
mnist_3,"dropout,residual",0.954,0.963
mnist_3,"dropout,layernorm",0.954,0.96
mnist_3,"dropout,dense",0.954,0.959
mnist_3,"whitening,attention",0.954,0.965
mnist_3,"whitening,residual",0.954,0.964
mnist_3,"whitening,layernorm",0.954,0.961
mnist_3,"whitening,dense",0.954,0.96
mnist_3,"attention,residual",0.954,0.969
mnist_3,"attention,layernorm",0.954,0.966
mnist_3,"attention,dense",0.954,0.965
mnist_3,"residual,layernorm",0.954,0.965
mnist_3,"residual,dense",0.954,0.964
mnist_3,"layernorm,dense",0.954,0.961
mnist_3,"batchnorm,dropout,whitening",0.954,0.964
mnist_3,"batchnorm,dropout,attention",0.954,0.969
mnist_3,"batchnorm,dropout,residual",0.954,0.968
mnist_3,"batchnorm,dropout,layernorm",0.954,0.965
mnist_3,"batchnorm,dropout,dense",0.954,0.964
mnist_3,"batchnorm,whitening,attention",0.954,0.97
mnist_3,"batchnorm,whitening,residual",0.954,0.969
mnist_3,"batchnorm,whitening,layernorm",0.954,0.966
mnist_3,"batchnorm,whitening,dense",0.954,0.965
mnist_3,"batchnorm,attention,residual",0.954,0.974
mnist_3,"batchnorm,attention,layernorm",0.954,0.971
mnist_3,"batchnorm,attention,dense",0.954,0.97
mnist_3,"batchnorm,residual,layernorm",0.954,0.97
mnist_3,"batchnorm,residual,dense",0.954,0.969
mnist_3,"batchnorm,layernorm,dense",0.954,0.966
mnist_3,"dropout,whitening,attention",0.954,0.967
mnist_3,"dropout,whitening,residual",0.954,0.966
mnist_3,"dropout,whitening,layernorm",0.954,0.963
mnist_3,"dropout,whitening,dense",0.954,0.962
mnist_3,"dropout,attention,residual",0.954,0.971
mnist_3,"dropout,attention,layernorm",0.954,0.968
mnist_3,"dropout,attention,dense",0.954,0.967
mnist_3,"dropout,residual,layernorm",0.954,0.967
mnist_3,"dropout,residual,dense",0.954,0.966
mnist_3,"dropout,layernorm,dense",0.954,0.963
mnist_3,"whitening,attention,residual",0.954,0.972
mnist_3,"whitening,attention,layernorm",0.954,0.969
mnist_3,"whitening,attention,dense",0.954,0.968
mnist_3,"whitening,residual,layernorm",0.954,0.968
mnist_3,"whitening,residual,dense",0.954,0.967
mnist_3,"whitening,layernorm,dense",0.954,0.964
mnist_3,"attention,residual,layernorm",0.954,0.973
mnist_3,"attention,residual,dense",0.954,0.972
mnist_3,"attention,layernorm,dense",0.954,0.969
mnist_3,"residual,layernorm,dense",0.954,0.968
mnist_3,"batchnorm,dropout,whitening,attention",0.954,0.972
mnist_3,"batchnorm,dropout,whitening,residual",0.954,0.971
mnist_3,"batchnorm,dropout,whitening,layernorm",0.954,0.968
mnist_3,"batchnorm,dropout,whitening,dense",0.954,0.967
mnist_3,"batchnorm,dropout,attention,residual",0.954,0.976
mnist_3,"batchnorm,dropout,attention,layernorm",0.954,0.973
mnist_3,"batchnorm,dropout,attention,dense",0.954,0.972
mnist_3,"batchnorm,dropout,residual,layernorm",0.954,0.972
mnist_3,"batchnorm,dropout,residual,dense",0.954,0.971
mnist_3,"batchnorm,dropout,layernorm,dense",0.954,0.968
mnist_3,"batchnorm,whitening,attention,residual",0.954,0.977
mnist_3,"batchnorm,whitening,attention,layernorm",0.954,0.974
mnist_3,"batchnorm,whitening,attention,dense",0.954,0.973
mnist_3,"batchnorm,whitening,residual,layernorm",0.954,0.973
mnist_3,"batchnorm,whitening,residual,dense",0.954,0.972
mnist_3,"batchnorm,whitening,layernorm,dense",0.954,0.969
mnist_3,"batchnorm,attention,residual,layernorm",0.954,0.978
mnist_3,"batchnorm,attention,residual,dense",0.954,0.977
mnist_3,"batchnorm,attention,layernorm,dense",0.954,0.974
mnist_3,"batchnorm,residual,layernorm,dense",0.954,0.973
mnist_3,"dropout,whitening,attention,residual",0.954,0.974
mnist_3,"dropout,whitening,attention,layernorm",0.954,0.971
mnist_3,"dropout,whitening,attention,dense",0.954,0.97
mnist_3,"dropout,whitening,residual,layernorm",0.954,0.97
mnist_3,"dropout,whitening,residual,dense",0.954,0.969
mnist_3,"dropout,whitening,layernorm,dense",0.954,0.966
mnist_3,"dropout,attention,residual,layernorm",0.954,0.975
mnist_3,"dropout,attention,residual,dense",0.954,0.974
mnist_3,"dropout,attention,layernorm,dense",0.954,0.971
mnist_3,"dropout,residual,layernorm,dense",0.954,0.97
mnist_3,"whitening,attention,residual,layernorm",0.954,0.976
mnist_3,"whitening,attention,residual,dense",0.954,0.975
mnist_3,"whitening,attention,layernorm,dense",0.954,0.972
mnist_3,"whitening,residual,layernorm,dense",0.954,0.971
mnist_3,"attention,residual,layernorm,dense",0.954,0.976
mnist_3,"batchnorm,dropout,whitening,attention,residual",0.954,0.979
mnist_3,"batchnorm,dropout,whitening,attention,layernorm",0.954,0.976
mnist_3,"batchnorm,dropout,whitening,attention,dense",0.954,0.975
mnist_3,"batchnorm,dropout,whitening,residual,layernorm",0.954,0.975
mnist_3,"batchnorm,dropout,whitening,residual,dense",0.954,0.974
